measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,WHO region,Both,0-6 days,Years,2010,70.50889980849267,70.98747202663696,70.03829885949496
Life expectancy,WHO region,Both,0-6 days,Years,2011,70.89637371765622,71.38243085794451,70.39248857220025
Life expectancy,WHO region,Both,0-6 days,Years,2012,71.331944368737,71.86726161887951,70.79506514475655
Life expectancy,WHO region,Both,0-6 days,Years,2013,71.66993143115245,72.1647019115985,71.13898969419856
Life expectancy,WHO region,Both,0-6 days,Years,2014,71.96595552939252,72.50522588515364,71.40959341552106
Life expectancy,WHO region,Both,0-6 days,Years,2015,72.2713327876416,72.85942381862232,71.64002888924792
Life expectancy,WHO region,Both,0-6 days,Years,2016,72.54353080034207,73.13824337330915,71.90046638663968
Life expectancy,WHO region,Both,0-6 days,Years,2017,72.81961596820533,73.48341764029489,72.11919053359509
Life expectancy,WHO region,Both,0-6 days,Years,2018,73.07415007583937,73.75223219354693,72.36628643828307
Life expectancy,WHO region,Both,0-6 days,Years,2019,73.31636556208552,73.98926643352122,72.53305311718107
Life expectancy,WHO region,Both,0-6 days,Years,2020,72.37137338037314,73.06900811775233,71.56513689006124
Life expectancy,WHO region,Both,0-6 days,Years,2021,71.70949621834231,72.45873162512876,70.86750538845811
Life expectancy,WHO region,Both,7-27 days,Years,2010,71.70229615735462,72.11170094529479,71.29313814994858
Life expectancy,WHO region,Both,7-27 days,Years,2011,72.07339563457303,72.48831336584887,71.63889431372684
Life expectancy,WHO region,Both,7-27 days,Years,2012,72.4856025654405,72.94661793754315,72.02301894664528
Life expectancy,WHO region,Both,7-27 days,Years,2013,72.80557993764354,73.2348357731012,72.35409043308276
Life expectancy,WHO region,Both,7-27 days,Years,2014,73.0770433287404,73.55352743074062,72.59333568872142
Life expectancy,WHO region,Both,7-27 days,Years,2015,73.35695254529952,73.8808715157383,72.82002253102279
Life expectancy,WHO region,Both,7-27 days,Years,2016,73.60205818781331,74.11957961149106,73.0502978314671
Life expectancy,WHO region,Both,7-27 days,Years,2017,73.86401052061714,74.42633563303274,73.25546372896352
Life expectancy,WHO region,Both,7-27 days,Years,2018,74.10455766731334,74.70095897015578,73.50107951155502
Life expectancy,WHO region,Both,7-27 days,Years,2019,74.33773920971856,74.926794630122,73.67219541333418
Life expectancy,WHO region,Both,7-27 days,Years,2020,73.36917279403148,74.00230952587148,72.68039792670366
Life expectancy,WHO region,Both,7-27 days,Years,2021,72.67566574816333,73.34689213661002,71.9694132155545
Life expectancy,WHO region,Both,5-9 years,Years,2010,69.37861885188121,69.66044976256835,69.0815094504234
Life expectancy,WHO region,Both,5-9 years,Years,2011,69.67669653246222,69.96257155232281,69.37722197883778
Life expectancy,WHO region,Both,5-9 years,Years,2012,69.9570431276669,70.27618692793789,69.64512244078705
Life expectancy,WHO region,Both,5-9 years,Years,2013,70.18703658266749,70.47980371379441,69.86817448035647
Life expectancy,WHO region,Both,5-9 years,Years,2014,70.36638533034677,70.70578698625742,70.00760690744357
Life expectancy,WHO region,Both,5-9 years,Years,2015,70.55952980294288,70.92410656902084,70.15982812963524
Life expectancy,WHO region,Both,5-9 years,Years,2016,70.70808867014495,71.0940049683593,70.30950302916743
Life expectancy,WHO region,Both,5-9 years,Years,2017,70.88008954772782,71.27666840582236,70.4439648651573
Life expectancy,WHO region,Both,5-9 years,Years,2018,71.04187618757317,71.48796722994085,70.58557143506033
Life expectancy,WHO region,Both,5-9 years,Years,2019,71.21246665751944,71.64980778085823,70.69262827583648
Life expectancy,WHO region,Both,5-9 years,Years,2020,70.10953132165511,70.57887295556408,69.58824927582108
Life expectancy,WHO region,Both,5-9 years,Years,2021,69.33726381210322,69.85460374542689,68.80523306929526
Life expectancy,WHO region,Both,10-14 years,Years,2010,64.67810712390028,64.94912775430943,64.38357629810113
Life expectancy,WHO region,Both,10-14 years,Years,2011,64.96834507280558,65.25105514884028,64.67448665737238
Life expectancy,WHO region,Both,10-14 years,Years,2012,65.2353738831523,65.54505748252885,64.9298061131697
Life expectancy,WHO region,Both,10-14 years,Years,2013,65.44983716416029,65.73687269390634,65.13175472253793
Life expectancy,WHO region,Both,10-14 years,Years,2014,65.61590124151006,65.94781622486055,65.27205091745718
Life expectancy,WHO region,Both,10-14 years,Years,2015,65.80160130233763,66.15296232144875,65.41096142947018
Life expectancy,WHO region,Both,10-14 years,Years,2016,65.94214851819478,66.32061594093949,65.55095867862894
Life expectancy,WHO region,Both,10-14 years,Years,2017,66.10379362781795,66.49427038110417,65.6791948767068
Life expectancy,WHO region,Both,10-14 years,Years,2018,66.25138820517644,66.68288983997161,65.81370197922851
Life expectancy,WHO region,Both,10-14 years,Years,2019,66.41104080025548,66.83869397739612,65.90777133096944
Life expectancy,WHO region,Both,10-14 years,Years,2020,65.29195358713586,65.76269815680641,64.778458070755
Life expectancy,WHO region,Both,10-14 years,Years,2021,64.5110673665177,65.02666564355401,63.97852397354239
Life expectancy,WHO region,Both,15-19 years,Years,2010,59.88866896734511,60.153878473358425,59.596430171909354
Life expectancy,WHO region,Both,15-19 years,Years,2011,60.16539565533946,60.44613569210188,59.877269013845584
Life expectancy,WHO region,Both,15-19 years,Years,2012,60.422647324204476,60.72334218534406,60.117450889573675
Life expectancy,WHO region,Both,15-19 years,Years,2013,60.63096606203845,60.91431393156071,60.31757315289421
Life expectancy,WHO region,Both,15-19 years,Years,2014,60.79636269290309,61.12559191082803,60.45816083182786
Life expectancy,WHO region,Both,15-19 years,Years,2015,60.97907773966619,61.322927566317794,60.59369729092608
Life expectancy,WHO region,Both,15-19 years,Years,2016,61.11193082093588,61.48858312360319,60.72174857731287
Life expectancy,WHO region,Both,15-19 years,Years,2017,61.26917528553917,61.65642650788708,60.85267007733269
Life expectancy,WHO region,Both,15-19 years,Years,2018,61.409680169747425,61.83489318348944,60.97702631840156
Life expectancy,WHO region,Both,15-19 years,Years,2019,61.56340928255552,61.98419547080748,61.0728510566205
Life expectancy,WHO region,Both,15-19 years,Years,2020,60.437557489499454,60.90467745394471,59.92891920699199
Life expectancy,WHO region,Both,15-19 years,Years,2021,59.652363938806076,60.16363137227417,59.12884099894958
Life expectancy,WHO region,Both,20-24 years,Years,2010,55.19264013109726,55.450083187648644,54.91186417174621
Life expectancy,WHO region,Both,20-24 years,Years,2011,55.46385120279074,55.73392788779698,55.183566577901075
Life expectancy,WHO region,Both,20-24 years,Years,2012,55.720995107918995,56.013828891889034,55.42283021813609
Life expectancy,WHO region,Both,20-24 years,Years,2013,55.92481715341344,56.200651578730714,55.62080711074067
Life expectancy,WHO region,Both,20-24 years,Years,2014,56.09955399442352,56.41727521711746,55.77239401661751
Life expectancy,WHO region,Both,20-24 years,Years,2015,56.27170930440648,56.60821420320458,55.892582895422066
Life expectancy,WHO region,Both,20-24 years,Years,2016,56.39757566120485,56.766942371252135,56.02417606379752
Life expectancy,WHO region,Both,20-24 years,Years,2017,56.55313422882373,56.93434803384449,56.144001938458295
Life expectancy,WHO region,Both,20-24 years,Years,2018,56.68059839385136,57.09963918026675,56.2445945043844
Life expectancy,WHO region,Both,20-24 years,Years,2019,56.82278791039266,57.239457292967735,56.352314098132155
Life expectancy,WHO region,Both,20-24 years,Years,2020,55.693677266712506,56.15349459842349,55.194076628514594
Life expectancy,WHO region,Both,20-24 years,Years,2021,54.91171059103834,55.41378561547265,54.40070796441853
Life expectancy,WHO region,Both,25-29 years,Years,2010,50.560102252228035,50.8114144496185,50.29378714329498
Life expectancy,WHO region,Both,25-29 years,Years,2011,50.81957150550586,51.078164712487606,50.54306906686257
Life expectancy,WHO region,Both,25-29 years,Years,2012,51.07517507789869,51.35588472054338,50.78737565698701
Life expectancy,WHO region,Both,25-29 years,Years,2013,51.27221120725756,51.54001236862547,50.9759302201459
Life expectancy,WHO region,Both,25-29 years,Years,2014,51.446629530536896,51.75347945985021,51.12689804702232
Life expectancy,WHO region,Both,25-29 years,Years,2015,51.61129702999361,51.938268538328025,51.24951669670092
Life expectancy,WHO region,Both,25-29 years,Years,2016,51.735899296841374,52.09184104366582,51.370774142067134
Life expectancy,WHO region,Both,25-29 years,Years,2017,51.889487762809964,52.26324964575078,51.491314455228554
Life expectancy,WHO region,Both,25-29 years,Years,2018,52.007072238507234,52.42289991797143,51.58892877862792
Life expectancy,WHO region,Both,25-29 years,Years,2019,52.14177329127295,52.555556878084445,51.69132212689977
Life expectancy,WHO region,Both,25-29 years,Years,2020,51.012799707756734,51.46602732679998,50.51931237108199
Life expectancy,WHO region,Both,25-29 years,Years,2021,50.236920995467095,50.73352512164258,49.73596747707853
Life expectancy,WHO region,Both,30-34 years,Years,2010,45.966584085758,46.21112098742951,45.70410849474619
Life expectancy,WHO region,Both,30-34 years,Years,2011,46.20471030448299,46.46039491725566,45.934837807084406
Life expectancy,WHO region,Both,30-34 years,Years,2012,46.4458697899897,46.7159449792723,46.16545192157718
Life expectancy,WHO region,Both,30-34 years,Years,2013,46.63191974785376,46.89631800060695,46.345051528012
Life expectancy,WHO region,Both,30-34 years,Years,2014,46.79403648569298,47.091056426462785,46.48092508282054
Life expectancy,WHO region,Both,30-34 years,Years,2015,46.94765083077227,47.27063239461385,46.59283691953913
Life expectancy,WHO region,Both,30-34 years,Years,2016,47.068913435126376,47.42242984935858,46.70881727708656
Life expectancy,WHO region,Both,30-34 years,Years,2017,47.222533784000525,47.59130870627068,46.82969501414936
Life expectancy,WHO region,Both,30-34 years,Years,2018,47.33359776979227,47.73791037946149,46.92442403040498
Life expectancy,WHO region,Both,30-34 years,Years,2019,47.46400203087165,47.87238104321462,47.01909395285382
Life expectancy,WHO region,Both,30-34 years,Years,2020,46.347316574022216,46.79300816326049,45.86794744301561
Life expectancy,WHO region,Both,30-34 years,Years,2021,45.58519416320705,46.07429952634819,45.09271264041303
Life expectancy,WHO region,Both,35-39 years,Years,2010,41.421690600886066,41.662077028306946,41.17200152611522
Life expectancy,WHO region,Both,35-39 years,Years,2011,41.6411947326211,41.88959392028525,41.38222224974129
Life expectancy,WHO region,Both,35-39 years,Years,2012,41.86523551890507,42.13073440320398,41.59340864003998
Life expectancy,WHO region,Both,35-39 years,Years,2013,42.03912204948002,42.29727962761279,41.76029360349578
Life expectancy,WHO region,Both,35-39 years,Years,2014,42.191456250438705,42.48356136635317,41.88404530501325
Life expectancy,WHO region,Both,35-39 years,Years,2015,42.3334629826079,42.65423772313102,41.985911283739576
